date,contact_name,invoice_number,reference,total,amount_due,days_old,project_code,status
2025-12-16,Uber,RB19874810850,,19.49,19.49,113,ACT-IN,AUTHORISED
2025-08-21,Taxi Receipt,392555,,18.4,18.4,230,ACT-IN,AUTHORISED
2026-02-17,News @ BNE,10283,,18.14,18.14,50,,AUTHORISED
2025-09-27,Amazon,12484342-INV-AU-2025-98195206,,18.04,18.04,193,ACT-IN,AUTHORISED
2025-07-25,Canva,04588-11870573,,17.99,17.99,257,ACT-IN,AUTHORISED
2025-08-25,Canva,04619-8628987,,17.99,17.99,226,ACT-IN,AUTHORISED
2025-06-01,Rasier Pacific,GJAHCGHC-03-2025-0001211,,17.86,17.86,311,ACT-IN,AUTHORISED
2026-03-04,Nest In Witta,HXCc,,17.85,17.85,35,ACT-HV,AUTHORISED
2025-10-15,Maleny Hardware And Rural Supplies,172326,,17.2,17.2,175,ACT-HV,AUTHORISED
2026-02-07,Bitwarden,MOZLLRUU-0003,,17.11,17.11,60,ACT-DO,AUTHORISED
2026-02-23,Maleny Hardware And Rural Supplies,195962,,16.95,16.95,44,ACT-HV,AUTHORISED
2025-03-15,Qatar Airways,7RKPLFD3,,15.81,15.81,389,ACT-IN,AUTHORISED
2025-06-15,Audible,D01-2605142-3810649,,14.95,14.95,297,ACT-IN,AUTHORISED
2025-05-09,Rasier Pacific,FDHDHACC-03-2025-0001847,,14.36,14.36,334,ACT-IN,AUTHORISED
2025-06-02,Rasier Pacific,FBEEAGEA-03-2025-0000475,,13.31,13.31,310,ACT-IN,AUTHORISED
2026-03-05,Uber,RB19874778170,,13.06,13.06,34,ACT-IN,AUTHORISED
2026-01-18,Uber,RB19874804430,,13.04,13.04,80,ACT-IN,AUTHORISED
2026-01-27,Uber,RB19874784870,,12.75,12.75,71,ACT-IN,AUTHORISED
2026-02-28,Firecrawl,PTJQ79UH-0005,,12.67,12.67,39,ACT-IN,AUTHORISED
2026-02-28,Firecrawl,PTJQ79UH-0005,,12.67,12.67,39,ACT-IN,AUTHORISED
2026-03-02,Uber,RB19781823910,,12.35,12.35,37,ACT-IN,AUTHORISED
2025-12-15,Uber,RB19874810800,,11.98,11.98,114,ACT-IN,AUTHORISED
2025-05-09,Rasier Pacific,GDDHGCJD-03-2025-0000785,,11.66,11.66,334,ACT-IN,AUTHORISED
2025-05-14,Rasier Pacific,FBFFGABE-03-2025-0001490,,10.76,10.76,329,ACT-IN,AUTHORISED
2026-02-25,Amazon,D01-8609354-2418638,,9.99,9.99,42,ACT-IN,AUTHORISED
2025-05-17,Maleny Hardware And Rural Supplies,143129,,9.05,9.05,326,ACT-HV,AUTHORISED
2026-03-03,Maleny Bakery,788506,,8.4,8.4,36,,AUTHORISED
2026-02-23,Railway Corporation,PADMUZCI-0009,,7.08,7.08,44,ACT-IN,AUTHORISED
2026-02-23,Railway Corporation,PADMUZCI-0009,,7.08,7.08,44,ACT-IN,AUTHORISED
2026-02-12,Obsidian,1151-7392,,5,5,55,ACT-IN,AUTHORISED
2025-09-03,Ollie In The Alley,E05F81,,4.8,4.8,217,,AUTHORISED
2025-07-28,Replit,1035-3913,,3.35,3.35,254,ACT-DO,AUTHORISED
